"Source","Destination","Alt Text"
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
"https://programs.tcnj.edu/law","https://programs.tcnj.edu/info-icon-blue.svg",""
"https://programs.tcnj.edu/self-designed-major","https://programs.tcnj.edu/info-icon-blue.svg",""
"https://programs.tcnj.edu/prelaw","https://programs.tcnj.edu/info-icon-blue.svg",""
"https://programs.tcnj.edu/medicine","https://programs.tcnj.edu/info-icon-blue.svg",""
"https://programs.tcnj.edu/medicine","https://programs.tcnj.edu/info-icon-blue.svg",""
"https://programs.tcnj.edu/premed","https://programs.tcnj.edu/info-icon-blue.svg",""
"https://programs.tcnj.edu/premed","https://programs.tcnj.edu/info-icon-blue.svg",""
